obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""137.2033""","=""""","=""15""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""137.3500""","=""""","=""15""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""137.4732""","=""""","=""10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""137.7080""","=""""","=""15""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""137.7937""","=""""","=""15""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""137.9429""","=""""","=""25""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""138.1469""","=""""","=""25""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""138.1637""","=""""","=""15""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""""","=""153.475155""","=""""","=""4.4e+04""","=""2.3e-05""","=""4.7e-04""","=""-4.03""",E,"=""0.000000""","=""8.0784540""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",4,6,,"=""T1220""","=""""",
"=""""","=""153.477237""","=""""","=""8.2e+03""","=""2.9e-06""","=""5.9e-05""","=""-4.94""",E,"=""0.000000""","=""8.0783444""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,4,,"=""T1220""","=""""",
"=""167.1070""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""167.1510""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""167.1680""","=""167.16713""","=""180""","=""3.9e+07""","=""8.2e-03""","=""1.8e-01""","=""-1.49""",D,"=""0.000000""","=""7.4167807""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""4P""","=""1/2""",4,2,,"=""T8043""","=""L5148""",
"=""167.2035""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""167.2474""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""167.4591""","=""167.45953""","=""600""","=""4.0e+07""","=""1.7e-02""","=""3.7e-01""","=""-1.17""",D,"=""0.000000""","=""7.4038306""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""4P""","=""3/2""",4,4,,"=""T8043""","=""L5148""",
"=""167.9695""","=""167.96969""","=""600""","=""3.9e+07""","=""2.5e-02""","=""5.5e-01""","=""-1.00""",D,"=""0.000000""","=""7.3813433""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""4P""","=""5/2""",4,6,,"=""T8043""","=""L5148""",
"=""168.5976""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""169.4028""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""169.4486""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""170.6376""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""170.7553""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""""","=""171.89702""","=""""","=""2.6e+05""","=""1.2e-04""","=""2.6e-03""","=""-3.34""",E,"=""0.000000""","=""7.2127021""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,"=""T1220""","=""""",
"=""""","=""172.78148""","=""""","=""1.5e+05""","=""3.4e-05""","=""7.6e-04""","=""-3.87""",E,"=""0.000000""","=""7.1757806""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",4,2,,"=""T1220""","=""""",
"=""177.4951""","=""177.49487""","=""600""","=""2.17e+08""","=""1.54e-01""","=""3.59e+00""","=""-0.211""",C,"=""0.000000""","=""6.9852271""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",4,6,,"=""T1220""","=""L5148""",
"=""178.2838""","=""178.28291""","=""500""","=""2.14e+08""","=""1.02e-01""","=""2.39e+00""","=""-0.389""",C,"=""0.000000""","=""6.9543513""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",4,4,,"=""T1220""","=""L5148""",
"=""178.7656""","=""178.76481""","=""400""","=""2.13e+08""","=""5.10e-02""","=""1.20e+00""","=""-0.690""",C,"=""0.000000""","=""6.9356043""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",4,2,,"=""T1220""","=""L5148""",
"=""183.4801""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""184.7165""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""184.9820""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""185.1194""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""185.2069""","=""""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""185.8886""","=""185.8871""","=""500""","=""2.32e+07""","=""1.80e-02""","=""4.41e-01""","=""-1.142""",C,"=""1.408587""","=""8.0784540""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",4,6,,"=""T1220""","=""L5148""",
"=""""","=""185.8901""","=""""","=""2.54e+08""","=""1.32e-01""","=""3.22e+00""","=""-0.279""",C,"=""1.408587""","=""8.0783444""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,4,,"=""T1220""","=""""",
"=""185.9393""","=""185.9410""","=""400""","=""2.64e+08""","=""1.37e-01""","=""5.03e+00""","=""-0.086""",C,"=""1.410522""","=""8.0784540""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",6,6,,"=""T1220""","=""L5148""",
"=""""","=""185.9441""","=""""","=""2.26e+07""","=""7.81e-03""","=""2.87e-01""","=""-1.329""",C,"=""1.410522""","=""8.0783444""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",6,4,,"=""T1220""","=""""",
"=""186.4348""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""190.5481""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""190.6403""","=""""","=""140""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""190.7665""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""202.4141""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""202.5168""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""203.3086""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""203.4131""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""213.6139""","=""213.6143""","=""400""","=""2.11e+07""","=""1.44e-02""","=""4.06e-01""","=""-1.239""",C,"=""1.408587""","=""7.2127021""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,"=""T1220""","=""L5148""",
"=""213.6856""","=""213.6856""","=""400""","=""2.83e+08""","=""1.29e-01""","=""5.45e+00""","=""-0.111""",C,"=""1.410522""","=""7.2127021""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",6,4,,"=""T1220""","=""L5148""",
"=""214.9821""","=""214.9819""","=""400""","=""3.18e+08""","=""1.10e-01""","=""3.12e+00""","=""-0.356""",C,"=""1.408587""","=""7.1757806""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",4,2,,"=""T1220""","=""L5148""",
"=""215.3617""","=""215.3616""","=""280""","=""4.85e+07""","=""6.74e-02""","=""9.56e-01""","=""-0.870""",C,"=""2.321320""","=""8.0783444""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",2,4,,"=""T1220""","=""L5148""",
"=""215.4757""","=""215.4749""","=""500""","=""5.8e+07""","=""6.1e-02""","=""1.7e+00""","=""-0.62""",C,"=""2.324457""","=""8.0784540""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",4,6,,"=""T1220""","=""L5148""",
"=""""","=""215.4790""","=""""","=""1.73e+07""","=""1.20e-02""","=""3.42e-01""","=""-1.317""",C,"=""2.324457""","=""8.0783444""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,4,,"=""T1220""","=""""",
"=""""","=""222.3278""","=""""","=""5.4e+03""","=""6.0e-06""","=""1.8e-04""","=""-4.62""",E,"=""1.408587""","=""6.9852271""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",4,6,,"=""T1220""","=""""",
"=""""","=""222.4050""","=""""","=""8.8e+04""","=""6.5e-05""","=""2.9e-03""","=""-3.41""",E,"=""1.410522""","=""6.9852271""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",6,6,,"=""T1220""","=""""",
"=""""","=""223.5656""","=""""","=""1.3e+05""","=""9.7e-05""","=""2.9e-03""","=""-3.41""",E,"=""1.408587""","=""6.9543513""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",4,4,,"=""T1220""","=""""",
"=""223.6426""","=""223.6436""","=""180""","=""6.2e+05""","=""3.1e-04""","=""1.4e-02""","=""-2.73""",E,"=""1.410522""","=""6.9543513""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",6,4,,"=""T1220""","=""L5148""",
"=""""","=""224.3239""","=""""","=""4.0e+05""","=""1.5e-04""","=""4.5e-03""","=""-3.22""",E,"=""1.408587""","=""6.9356043""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",4,2,,"=""T1220""","=""""",
"=""253.4738""","=""253.4748""","=""750""","=""2.00e+07""","=""3.85e-02""","=""6.43e-01""","=""-1.113""",C,"=""2.321320""","=""7.2127021""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",2,4,,"=""T1220""","=""L5148""",
"=""253.6365""","=""253.6374""","=""950""","=""9.5e+07""","=""9.2e-02""","=""3.1e+00""","=""-0.44""",C,"=""2.324457""","=""7.2127021""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,"=""T1220""","=""L5148""",
"=""255.4028""","=""255.4026""","=""750""","=""7.1e+07""","=""6.9e-02""","=""1.2e+00""","=""-0.86""",C,"=""2.321320""","=""7.1757806""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",2,2,,"=""T1220""","=""L5148""",
"=""255.5681""","=""255.5678""","=""500""","=""3.00e+07""","=""1.47e-02""","=""4.94e-01""","=""-1.231""",C,"=""2.324457""","=""7.1757806""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",4,2,,"=""T1220""","=""L5148""",
"=""""","=""266.0166""","=""""","=""4.1e+01""","=""6.5e-08""","=""2.3e-06""","=""-6.58""",E,"=""2.324457""","=""6.9852271""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",4,6,,"=""T1220""","=""""",
"=""""","=""267.6093""","=""""","=""2.7e+04""","=""5.8e-05""","=""1.0e-03""","=""-3.94""",E,"=""2.321320""","=""6.9543513""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",2,4,,"=""T1220""","=""""",
"=""""","=""267.7906""","=""""","=""1.3e+05""","=""1.4e-04""","=""4.9e-03""","=""-3.25""",E,"=""2.324457""","=""6.9543513""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",4,4,,"=""T1220""","=""""",
"=""""","=""268.6965""","=""""","=""3.9e+04""","=""4.2e-05""","=""7.5e-04""","=""-4.07""",E,"=""2.321320""","=""6.9356043""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",2,2,,"=""T1220""","=""""",
"=""""","=""268.8793""","=""""","=""4.1e+04""","=""2.2e-05""","=""7.9e-04""","=""-4.05""",E,"=""2.324457""","=""6.9356043""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",4,2,,"=""T1220""","=""""",
"=""""","=""497.9539""","=""""","=""1.1e+06""","=""8.2e-03""","=""2.7e-01""","=""-1.79""",E,"=""6.9356043""","=""9.4254773""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",2,4,,"=""T1619CA,LS""","=""""",
"=""""","=""501.7316""","=""""","=""2.0e+06""","=""7.5e-03""","=""5.0e-01""","=""-1.52""",E,"=""6.9543513""","=""9.4254773""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""""",
"=""""","=""504.6813""","=""""","=""1.6e+06""","=""9.2e-03""","=""6.1e-01""","=""-1.44""",E,"=""6.9543513""","=""9.4110345""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""5/2""",4,6,,"=""T1619CA,LS""","=""""",
"=""""","=""506.0624""","=""""","=""6.3e+05""","=""2.4e-03""","=""8.1e-02""","=""-2.32""",E,"=""6.9356043""","=""9.3855829""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""1/2""",2,2,,"=""T1619CA,LS""","=""""",
"=""""","=""506.3327""","=""""","=""1.5e+06""","=""1.2e-02""","=""3.8e-01""","=""-1.64""",E,"=""6.9356043""","=""9.3842750""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",2,4,,"=""T1619CA,LS""","=""""",
"=""508.0797""","=""508.0799""","=""100""","=""2.9e+06""","=""7.5e-03""","=""7.5e-01""","=""-1.35""",E,"=""6.9852271""","=""9.4254773""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",6,4,,"=""T1619CA,LS""","=""L5148""",
"=""509.9642""","=""509.9646""","=""100""","=""2.9e+06""","=""5.7e-03""","=""3.8e-01""","=""-1.65""",E,"=""6.9543513""","=""9.3855829""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""1/2""",4,2,,"=""T1619CA,LS""","=""L5148""",
"=""510.2396""","=""510.2391""","=""100""","=""4.6e+05""","=""1.8e-03""","=""1.2e-01""","=""-2.14""",E,"=""6.9543513""","=""9.3842750""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""L5148""",
"=""511.1052""","=""511.1049""","=""140""","=""3.4e+06""","=""1.3e-02""","=""1.3e+00""","=""-1.10""",E,"=""6.9852271""","=""9.4110345""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""5/2""",6,6,,"=""T1619CA,LS""","=""L5148""",
"=""515.6280""","=""515.6278""","=""140""","=""1.5e+06""","=""9.0e-03""","=""6.1e-01""","=""-1.45""",E,"=""6.9543513""","=""9.3588801""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""5/2""",4,6,,"=""T1619CA,LS""","=""L5148""",
"=""""","=""516.3704""","=""""","=""3.2e+06""","=""1.7e-02""","=""1.7e+00""","=""-0.99""",E,"=""6.9852271""","=""9.3862983""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""7/2""",6,8,,"=""T1619CA,LS""","=""""",
"=""516.3728""","=""""","=""180""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L5148""",
"=""""","=""516.8059""","=""""","=""1.4e+06""","=""3.7e-03""","=""3.8e-01""","=""-1.65""",E,"=""6.9852271""","=""9.3842750""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",6,4,,"=""T1619CA,LS""","=""""",
"=""""","=""519.1869""","=""""","=""7.5e+05""","=""3.0e-03""","=""2.1e-01""","=""-1.92""",E,"=""6.9543513""","=""9.3423968""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""3/2""",4,4,,"=""T1619CA,LS""","=""""",
"=""""","=""522.3350""","=""""","=""5.8e+05""","=""2.4e-03""","=""2.4e-01""","=""-1.85""",E,"=""6.9852271""","=""9.3588801""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""5/2""",6,6,,"=""T1619CA,LS""","=""""",
"=""""","=""525.9876""","=""""","=""5.7e+04""","=""1.6e-04""","=""1.6e-02""","=""-3.02""",E,"=""6.9852271""","=""9.3423968""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""3/2""",6,4,,"=""T1619CA,LS""","=""""",
"=""""","=""526.3525""","=""""","=""1.5e+06""","=""1.2e-02""","=""4.3e-01""","=""-1.60""",E,"=""7.1757806""","=""9.5313163""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""3/2""",2,4,,"=""T1619CA,LS""","=""""",
