obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""308.7183""","=""0.0005""","=""308.7183""","=""""","=""8.00e+03""","=""2.29e-05""","=""4.65e-04""","=""-4.34""",,"=""0.00000000""","=""4.016095""","=""7s""","=""2S""","=""1/2""","=""20p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""308.7739""","=""0.0005""","=""308.7740""","=""""","=""8.01e+03""","=""1.14e-05""","=""2.33e-04""","=""-4.64""",,"=""0.00000000""","=""4.015371""","=""7s""","=""2S""","=""1/2""","=""20p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""309.3412""","=""0.0005""","=""309.3411""","=""""","=""1.00e+04""","=""2.87e-05""","=""5.84e-04""","=""-4.24""",,"=""0.00000000""","=""4.008009""","=""7s""","=""2S""","=""1/2""","=""19p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""309.4095""","=""0.0005""","=""309.4095""","=""""","=""9.82e+03""","=""1.41e-05""","=""2.87e-04""","=""-4.55""",,"=""0.00000000""","=""4.007123""","=""7s""","=""2S""","=""1/2""","=""19p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""310.1111""","=""0.0005""","=""310.1111""","=""""","=""1.23e+04""","=""3.55e-05""","=""7.24e-04""","=""-4.15""",,"=""0.00000000""","=""3.998058""","=""7s""","=""2S""","=""1/2""","=""18p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""310.1963""","=""0.0005""","=""310.1963""","=""""","=""1.23e+04""","=""1.77e-05""","=""3.62e-04""","=""-4.45""",,"=""0.00000000""","=""3.996959""","=""7s""","=""2S""","=""1/2""","=""18p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""311.0787""","=""0.0005""","=""311.0788""","=""""","=""1.57e+04""","=""4.56e-05""","=""9.33e-04""","=""-4.04""",,"=""0.00000000""","=""3.985621""","=""7s""","=""2S""","=""1/2""","=""17p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""311.1868""","=""0.0005""","=""311.1869""","=""""","=""1.57e+04""","=""2.28e-05""","=""4.67e-04""","=""-4.34""",,"=""0.00000000""","=""3.984236""","=""7s""","=""2S""","=""1/2""","=""17p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""312.3189""","=""0.0005""","=""312.3190""","=""""","=""2.10e+04""","=""6.14e-05""","=""1.26e-03""","=""-3.91""",,"=""0.00000000""","=""3.969794""","=""7s""","=""2S""","=""1/2""","=""16p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""312.4590""","=""0.0005""","=""312.4590""","=""""","=""2.11e+04""","=""3.09e-05""","=""6.35e-04""","=""-4.21""",,"=""0.00000000""","=""3.968015""","=""7s""","=""2S""","=""1/2""","=""16p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""313.9456""","=""0.0005""","=""313.9456""","=""""","=""2.81e+04""","=""8.30e-05""","=""1.72e-03""","=""-3.78""",,"=""0.00000000""","=""3.949225""","=""7s""","=""2S""","=""1/2""","=""15p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""314.1319""","=""0.0005""","=""314.1319""","=""""","=""2.81e+04""","=""4.16e-05""","=""8.60e-04""","=""-4.08""",,"=""0.00000000""","=""3.946883""","=""7s""","=""2S""","=""1/2""","=""15p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""316.1407""","=""0.0005""","=""316.1407""","=""""","=""4.00e+04""","=""1.20e-04""","=""2.50e-03""","=""-3.62""",,"=""0.00000000""","=""3.921805""","=""7s""","=""2S""","=""1/2""","=""14p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""316.3962""","=""0.0005""","=""316.3961""","=""""","=""3.91e+04""","=""5.87e-05""","=""1.22e-03""","=""-3.93""",,"=""0.00000000""","=""3.918638""","=""7s""","=""2S""","=""1/2""","=""14p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""319.2088""","=""0.0005""","=""319.2088""","=""""","=""5.81e+04""","=""1.78e-04""","=""3.73e-03""","=""-3.45""",,"=""0.00000000""","=""3.884110""","=""7s""","=""2S""","=""1/2""","=""13p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""319.5734""","=""0.0005""","=""319.5734""","=""""","=""5.81e+04""","=""8.90e-05""","=""1.87e-03""","=""-3.75""",,"=""0.00000000""","=""3.879679""","=""7s""","=""2S""","=""1/2""","=""13p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""323.6963""","=""0.0005""","=""323.6962""","=""""","=""9.16e+04""","=""2.88e-04""","=""6.13e-03""","=""-3.24""",,"=""0.00000000""","=""3.830264""","=""7s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""324.2439""","=""0.0005""","=""324.2439""","=""""","=""9.15e+04""","=""1.44e-04""","=""3.08e-03""","=""-3.54""",,"=""0.00000000""","=""3.823794""","=""7s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""330.6704""","=""0.0005""","=""330.6703""","=""""","=""1.56e+05""","=""5.11e-04""","=""1.11e-02""","=""-2.99""",,"=""0.00000000""","=""3.749481""","=""7s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""331.5532""","=""0.0006""","=""331.5532""","=""""","=""1.56e+05""","=""2.57e-04""","=""5.61e-03""","=""-3.29""",,"=""0.00000000""","=""3.739496""","=""7s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""342.4882""","=""0.0006""","=""342.4882""","=""""","=""3.04e+05""","=""1.07e-03""","=""2.41e-02""","=""-2.67""",,"=""0.00000000""","=""3.620102""","=""7s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""344.0661""","=""0.0006""","=""344.0661""","=""""","=""3.02e+05""","=""5.36e-04""","=""1.21e-02""","=""-2.97""",,"=""0.00000000""","=""3.603499""","=""7s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""365.4143""","=""0.0007""","=""365.4143""","=""""","=""7.52e+05""","=""3.01e-03""","=""7.24e-02""","=""-2.22""",,"=""0.00000000""","=""3.392976""","=""7s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""368.7559""","=""0.0007""","=""368.7559""","=""""","=""7.24e+05""","=""1.48e-03""","=""3.58e-02""","=""-2.53""",,"=""0.00000000""","=""3.362230""","=""7s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""422.6845""","=""0.0009""","=""422.68453""","=""""","=""2.82e+06""","=""1.51e-02""","=""4.20e-01""","=""-1.52""",,"=""0.00000000""","=""2.9332561""","=""7s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""432.6577""","=""0.0009""","=""432.65770""","=""""","=""2.64e+06""","=""7.41e-03""","=""2.11e-01""","=""-1.83""",,"=""0.00000000""","=""2.8656418""","=""7s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""494.7537""","=""0.0002""","=""494.75378""","=""""","=""1.67e+05""","=""1.23e-03""","=""3.99e-02""","=""-2.61""",,"=""1.51724535""","=""4.0232231""","=""7p""","=""2P*""","=""1/2""","=""20d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""496.0528""","=""0.0002""","=""496.05283""","=""""","=""2.00e+05""","=""1.48e-03""","=""4.82e-02""","=""-2.53""",,"=""1.51724535""","=""4.0166605""","=""7p""","=""2P*""","=""1/2""","=""19d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""497.0418""","=""0.0002""","=""497.04173""","=""""","=""4.57e+04""","=""1.69e-04""","=""5.54e-03""","=""-3.47""",,"=""1.51724535""","=""4.0116878""","=""7p""","=""2P*""","=""1/2""","=""20s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""497.6376""","=""0.0002""","=""497.63759""","=""""","=""2.39e+05""","=""1.77e-03""","=""5.81e-02""","=""-2.45""",,"=""1.51724535""","=""4.0087010""","=""7p""","=""2P*""","=""1/2""","=""18d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""498.8583""","=""0.0002""","=""498.85834""","=""""","=""5.59e+04""","=""2.09e-04""","=""6.85e-03""","=""-3.38""",,"=""1.51724535""","=""4.0026042""","=""7p""","=""2P*""","=""1/2""","=""19s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""499.5993""","=""0.0002""","=""499.59932""","=""""","=""2.98e+05""","=""2.23e-03""","=""7.34e-02""","=""-2.35""",,"=""1.51724535""","=""3.9989180""","=""7p""","=""2P*""","=""1/2""","=""17d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""501.1315""","=""0.0002""","=""501.13150""","=""""","=""6.97e+04""","=""2.62e-04""","=""8.66e-03""","=""-3.28""",,"=""1.51724535""","=""3.9913304""","=""7p""","=""2P*""","=""1/2""","=""18s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""502.0693""","=""0.0002""","=""502.06928""","=""""","=""3.81e+05""","=""2.88e-03""","=""9.52e-02""","=""-2.24""",,"=""1.51724535""","=""3.9867093""","=""7p""","=""2P*""","=""1/2""","=""16d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""504.0301""","=""0.0002""","=""504.03015""","=""""","=""8.88e+04""","=""3.38e-04""","=""1.12e-02""","=""-3.17""",,"=""1.51724535""","=""3.9771021""","=""7p""","=""2P*""","=""1/2""","=""17s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""505.2419""","=""0.0002""","=""505.24188""","=""""","=""4.84e+05""","=""3.70e-03""","=""1.23e-01""","=""-2.13""",,"=""1.51724535""","=""3.9712026""","=""7p""","=""2P*""","=""1/2""","=""15d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""507.8106""","=""0.0002""","=""507.81064""","=""""","=""1.15e+05""","=""4.45e-04""","=""1.49e-02""","=""-3.05""",,"=""1.51724535""","=""3.9587893""","=""7p""","=""2P*""","=""1/2""","=""16s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""509.4172""","=""0.0002""","=""509.41727""","=""""","=""6.28e+05""","=""4.89e-03""","=""1.64e-01""","=""-2.01""",,"=""1.51724535""","=""3.9510890""","=""7p""","=""2P*""","=""1/2""","=""14d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""512.8791""","=""0.0002""","=""512.87909""","=""""","=""1.56e+05""","=""6.15e-04""","=""2.08e-02""","=""-2.91""",,"=""1.51724535""","=""3.9346611""","=""7p""","=""2P*""","=""1/2""","=""15s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""515.0765""","=""0.0002""","=""515.07652""","=""""","=""8.48e+05""","=""6.75e-03""","=""2.29e-01""","=""-1.87""",,"=""1.51724535""","=""3.9243478""","=""7p""","=""2P*""","=""1/2""","=""13d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""519.9111""","=""0.0002""","=""519.91114""","=""""","=""2.14e+05""","=""8.67e-04""","=""2.97e-02""","=""-2.76""",,"=""1.51724535""","=""3.9019644""","=""7p""","=""2P*""","=""1/2""","=""14s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""523.0373""","=""0.0002""","=""523.03725""","=""""","=""1.19e+06""","=""9.76e-03""","=""3.36e-01""","=""-1.71""",,"=""1.51724535""","=""3.8877113""","=""7p""","=""2P*""","=""1/2""","=""12d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""530.1067""","=""0.0002""","=""530.10661""","=""""","=""3.05e+05""","=""1.28e-03""","=""4.48e-02""","=""-2.59""",,"=""1.51724535""","=""3.8560994""","=""7p""","=""2P*""","=""1/2""","=""13s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""534.7904""","=""0.0002""","=""534.79036""","=""""","=""1.76e+06""","=""1.51e-02""","=""5.31e-01""","=""-1.52""",,"=""1.51724535""","=""3.8356155""","=""7p""","=""2P*""","=""1/2""","=""11d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""539.7676""","=""0.0002""","=""539.76765""","=""""","=""1.55e+05""","=""1.02e-03""","=""7.22e-02""","=""-2.39""",,"=""1.72635573""","=""4.0233477""","=""7p""","=""2P*""","=""3/2""","=""20d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""539.7969""","=""0.0002""","=""539.79693""","=""""","=""2.62e+04""","=""1.14e-04""","=""8.14e-03""","=""-3.34""",,"=""1.72635573""","=""4.0232231""","=""7p""","=""2P*""","=""3/2""","=""20d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""541.3082""","=""0.0002""","=""541.30823""","=""""","=""1.86e+05""","=""1.23e-03""","=""8.74e-02""","=""-2.31""",,"=""1.72635573""","=""4.0168104""","=""7p""","=""2P*""","=""3/2""","=""19d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""541.3436""","=""0.0002""","=""541.34366""","=""""","=""3.13e+04""","=""1.38e-04""","=""9.80e-03""","=""-3.26""",,"=""1.72635573""","=""4.0166605""","=""7p""","=""2P*""","=""3/2""","=""19d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""542.5216""","=""0.0002""","=""542.52159""","=""""","=""6.99e+04""","=""1.54e-04""","=""1.10e-02""","=""-3.21""",,"=""1.72635573""","=""4.0116878""","=""7p""","=""2P*""","=""3/2""","=""20s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""543.1881""","=""0.0002""","=""543.18810""","=""""","=""6.66e+05""","=""4.42e-03""","=""3.16e-01""","=""-1.75""",,"=""1.72635573""","=""4.0088836""","=""7p""","=""2P*""","=""3/2""","=""18d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""543.2316""","=""0.0002""","=""543.23156""","=""""","=""3.73e+04""","=""1.65e-04""","=""1.18e-02""","=""-3.18""",,"=""1.72635573""","=""4.0087010""","=""7p""","=""2P*""","=""3/2""","=""18d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""544.6865""","=""0.0002""","=""544.68658""","=""""","=""8.73e+04""","=""1.94e-04""","=""1.39e-02""","=""-3.11""",,"=""1.72635573""","=""4.0026042""","=""7p""","=""2P*""","=""3/2""","=""19s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""545.5158""","=""0.0002""","=""545.51573""","=""""","=""2.77e+05""","=""1.85e-03""","=""1.33e-01""","=""-2.13""",,"=""1.72635573""","=""3.9991444""","=""7p""","=""2P*""","=""3/2""","=""17d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""545.5701""","=""0.0002""","=""545.57008""","=""""","=""4.55e+04""","=""2.03e-04""","=""1.46e-02""","=""-3.09""",,"=""1.72635573""","=""3.9989180""","=""7p""","=""2P*""","=""3/2""","=""17d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""545.7891""","=""0.0002""","=""545.78911""","=""""","=""4.56e+05""","=""2.04e-03""","=""7.32e-02""","=""-2.39""",,"=""1.51724535""","=""3.7888956""","=""7p""","=""2P*""","=""1/2""","=""12s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""547.3978""","=""0.0002""","=""547.39772""","=""""","=""1.06e+05""","=""2.38e-04""","=""1.72e-02""","=""-3.02""",,"=""1.72635573""","=""3.9913304""","=""7p""","=""2P*""","=""3/2""","=""18s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""548.4477""","=""0.0002""","=""548.44779""","=""""","=""3.45e+05""","=""2.33e-03""","=""1.69e-01""","=""-2.03""",,"=""1.72635573""","=""3.9869938""","=""7p""","=""2P*""","=""3/2""","=""16d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""548.5169""","=""0.0002""","=""548.51684""","=""""","=""5.80e+04""","=""2.62e-04""","=""1.89e-02""","=""-2.98""",,"=""1.72635573""","=""3.9867093""","=""7p""","=""2P*""","=""3/2""","=""16d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""550.8582""","=""0.0002""","=""550.85814""","=""""","=""1.35e+05""","=""3.07e-04""","=""2.23e-02""","=""-2.91""",,"=""1.72635573""","=""3.9771021""","=""7p""","=""2P*""","=""3/2""","=""17s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""552.2171""","=""0.0002""","=""552.21700""","=""""","=""4.48e+05""","=""3.07e-03""","=""2.23e-01""","=""-1.91""",,"=""1.72635573""","=""3.9715636""","=""7p""","=""2P*""","=""3/2""","=""15d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""552.3058""","=""0.0002""","=""552.30582""","=""""","=""7.37e+04""","=""3.37e-04""","=""2.45e-02""","=""-2.87""",,"=""1.72635573""","=""3.9712026""","=""7p""","=""2P*""","=""3/2""","=""15d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""553.3252""","=""0.0002""","=""553.32526""","=""""","=""2.67e+06""","=""2.45e-02""","=""8.93e-01""","=""-1.31""",,"=""1.51724535""","=""3.7579563""","=""7p""","=""2P*""","=""1/2""","=""10d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
"=""555.3769""","=""0.0002""","=""555.37688""","=""""","=""1.75e+05""","=""4.05e-04""","=""2.96e-02""","=""-2.79""",,"=""1.72635573""","=""3.9587893""","=""7p""","=""2P*""","=""3/2""","=""16s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""557.1802""","=""0.0002""","=""557.18017""","=""""","=""1.74e+06""","=""1.21e-02""","=""8.91e-01""","=""-1.32""",,"=""1.72635573""","=""3.9515641""","=""7p""","=""2P*""","=""3/2""","=""14d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""557.2991""","=""0.0002""","=""557.29916""","=""""","=""9.77e+04""","=""4.55e-04""","=""3.34e-02""","=""-2.74""",,"=""1.72635573""","=""3.9510890""","=""7p""","=""2P*""","=""3/2""","=""14d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""561.4450""","=""0.0002""","=""561.44499""","=""""","=""2.37e+05""","=""5.60e-04""","=""4.14e-02""","=""-2.65""",,"=""1.72635573""","=""3.9346611""","=""7p""","=""2P*""","=""3/2""","=""15s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""563.9154""","=""0.0002""","=""563.91538""","=""""","=""2.35e+06""","=""1.68e-02""","=""1.25e+00""","=""-1.17""",,"=""1.72635573""","=""3.9249870""","=""7p""","=""2P*""","=""3/2""","=""13d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""564.0793""","=""0.0002""","=""564.07936""","=""""","=""1.32e+05""","=""6.30e-04""","=""4.68e-02""","=""-2.60""",,"=""1.72635573""","=""3.9243478""","=""7p""","=""2P*""","=""3/2""","=""13d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""569.8828""","=""0.0002""","=""569.88282""","=""""","=""3.25e+05""","=""7.91e-04""","=""5.94e-02""","=""-2.50""",,"=""1.72635573""","=""3.9019644""","=""7p""","=""2P*""","=""3/2""","=""14s""","=""2S""","=""1/2""",4,2,,"=""T6898""","=""L12264""",
"=""572.0332""","=""0.0002""","=""572.03329""","=""""","=""7.38e+05""","=""3.62e-03""","=""1.36e-01""","=""-2.14""",,"=""1.51724535""","=""3.6846751""","=""7p""","=""2P*""","=""1/2""","=""11s""","=""2S""","=""1/2""",2,2,,"=""T6898""","=""L12264""",
"=""573.4058""","=""0.0002""","=""573.40577""","=""""","=""1.09e+06""","=""8.06e-03""","=""6.09e-01""","=""-1.49""",,"=""1.72635573""","=""3.8885976""","=""7p""","=""2P*""","=""3/2""","=""12d""","=""2D""","=""5/2""",4,6,,"=""T6898""","=""L12264""",
"=""573.6409""","=""0.0002""","=""573.64092""","=""""","=""1.80e+05""","=""8.88e-04""","=""6.71e-02""","=""-2.45""",,"=""1.72635573""","=""3.8877113""","=""7p""","=""2P*""","=""3/2""","=""12d""","=""2D""","=""3/2""",4,4,,"=""T6898""","=""L12264""",
"=""585.5114""","=""0.0002""","=""585.51136""","=""""","=""4.44e+06""","=""4.56e-02""","=""1.76e+00""","=""-1.04""",,"=""1.51724535""","=""3.6347824""","=""7p""","=""2P*""","=""1/2""","=""9d""","=""2D""","=""3/2""",2,4,,"=""T6898""","=""L12264""",
